Krum Server | DEBUG flwr 2024-03-20 13:33:23,720 | server.py:222 | fit_round 17: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:24,273 | server.py:236 | fit_round 17 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:24,582 | server.py:125 | fit progress: (17, 0.8560701811942804, {'accuracy': 0.5947}, 43.68223913491238)
Krum Server | DEBUG flwr 2024-03-20 13:33:24,586 | server.py:173 | evaluate_round 17: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:25,307 | server.py:187 | evaluate_round 17 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:25,308 | server.py:222 | fit_round 18: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:25,887 | server.py:236 | fit_round 18 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:26,194 | server.py:125 | fit progress: (18, 0.8321631619325206, {'accuracy': 0.5966}, 45.29401703400072)
Krum Server | DEBUG flwr 2024-03-20 13:33:26,195 | server.py:173 | evaluate_round 18: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:26,936 | server.py:187 | evaluate_round 18 received 190 results and 0 failures
Krum Server | DEBUG flwr 2024-03-20 13:33:26,937 | server.py:222 | fit_round 19: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:27,508 | server.py:236 | fit_round 19 received 190 results and 0 failures
Krum Server | INFO flwr 2024-03-20 13:33:27,822 | server.py:125 | fit progress: (19, 0.842496282452144, {'accuracy': 0.5996}, 46.92139569798019)
Krum Server | DEBUG flwr 2024-03-20 13:33:27,825 | server.py:173 | evaluate_round 19: strategy sampled 190 clients (out of 190)
Krum Server | DEBUG flwr 2024-03-20 13:33:28,545 | server.py:187 | evaluate_round 19 received 190 results and 0 failures
