Krum Server | DEBUG flwr 2024-03-10 15:12:18,891 | server.py:173 | evaluate_round 22: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:18,929 | server.py:187 | evaluate_round 22 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:18,930 | server.py:222 | fit_round 23: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,045 | server.py:236 | fit_round 23 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:19,062 | server.py:125 | fit progress: (23, 0.8166075771312631, {'accuracy': 0.6065}, 4.707527165999636)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,062 | server.py:173 | evaluate_round 23: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,100 | server.py:187 | evaluate_round 23 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:19,100 | server.py:222 | fit_round 24: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,218 | server.py:236 | fit_round 24 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:19,245 | server.py:125 | fit progress: (24, 0.8157057262318682, {'accuracy': 0.6086}, 4.890434986999026)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,246 | server.py:173 | evaluate_round 24: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,302 | server.py:187 | evaluate_round 24 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:19,302 | server.py:222 | fit_round 25: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,433 | server.py:236 | fit_round 25 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:19,450 | server.py:125 | fit progress: (25, 0.8162513101995725, {'accuracy': 0.607}, 5.0958648119994905)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,451 | server.py:173 | evaluate_round 25: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,493 | server.py:187 | evaluate_round 25 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:19,494 | server.py:222 | fit_round 26: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,626 | server.py:236 | fit_round 26 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:19,642 | server.py:125 | fit progress: (26, 0.8153596938642339, {'accuracy': 0.6075}, 5.287634958996932)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,642 | server.py:173 | evaluate_round 26: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,681 | server.py:187 | evaluate_round 26 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:19,682 | server.py:222 | fit_round 27: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,811 | server.py:236 | fit_round 27 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:19,830 | server.py:125 | fit progress: (27, 0.8157260657484959, {'accuracy': 0.607}, 5.476180522997311)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,831 | server.py:173 | evaluate_round 27: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:19,874 | server.py:187 | evaluate_round 27 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:19,874 | server.py:222 | fit_round 28: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,011 | server.py:236 | fit_round 28 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:20,028 | server.py:125 | fit progress: (28, 0.8155889650862433, {'accuracy': 0.6079}, 5.673720449998655)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,028 | server.py:173 | evaluate_round 28: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,064 | server.py:187 | evaluate_round 28 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:20,064 | server.py:222 | fit_round 29: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,214 | server.py:236 | fit_round 29 received 3 results and 0 failures
Krum Server | INFO flwr 2024-03-10 15:12:20,250 | server.py:125 | fit progress: (29, 0.8160936384863753, {'accuracy': 0.6059}, 5.895785535998584)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,250 | server.py:173 | evaluate_round 29: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,297 | server.py:187 | evaluate_round 29 received 3 results and 0 failures
Krum Server | DEBUG flwr 2024-03-10 15:12:20,297 | server.py:222 | fit_round 30: strategy sampled 3 clients (out of 3)
Krum Server | DEBUG flwr 2024-03-10 15:12:20,421 | server.py:236 | fit_round 30 received 3 results and 0 failures
